fips,pop_total,pop_white,pop_black,pop_hispanic,income_median_household,rent_median_gross,rent_burdened_pct,evict_year,evict_filings
37045,100170,72654,18406,1970,55769.0,835.0,40.6,2018,1517
37047,50453,30351,14472,2710,48184.0,775.0,41.0,2018,349
37049,101074,68095,20493,1506,64635.0,1100.0,37.1,2018,1097
37051,336749,147878,125737,12171,58780.0,1156.0,42.0,2018,9223
37053,29612,25360,1509,423,91548.0,1126.0,41.2,2018,86
37055,37534,32757,1052,407,81214.0,1307.0,46.7,2018,129
37057,171063,135280,15898,1983,62426.0,863.0,35.4,2018,1983
37059,43526,36669,1734,1702,73234.0,889.0,34.3,2018,196
37061,49053,28190,11184,547,51880.0,815.0,33.2,2018,300
37063,329405,149981,108885,5973,79501.0,1415.0,36.2,2018,9948
37065,48777,18459,27272,491,48480.0,818.0,43.1,2018,2908
37067,386740,225043,98592,6051,65541.0,1046.0,38.1,2018,10625
37069,71962,45327,17074,1256,71386.0,988.0,42.6,2018,501
37071,231485,163004,40681,3007,65472.0,1085.0,39.7,2018,4750
37073,10437,6624,3254,152,61612.0,940.0,22.3,2018,40
37075,8041,6854,56,793,49038.0,581.0,24.3,2018,19
37077,61439,35065,18098,1311,70975.0,1008.0,34.7,2018,711
37079,20421,10071,6570,889,50904.0,845.0,33.4,2018,100
37081,542987,266751,184691,9398,66027.0,1108.0,40.5,2018,16694
37083,48219,17937,25038,2462,45071.0,776.0,42.1,2018,691
37085,136503,85935,28377,3299,69012.0,1080.0,34.4,2018,1102
37087,62432,57353,624,931,61001.0,1052.0,40.7,2018,478
37089,117387,98766,3842,1706,67623.0,1120.0,37.1,2018,626
37091,20492,7206,11636,537,47472.0,806.0,48.6,2018,159
37093,53102,21680,17797,5314,60095.0,1047.0,40.5,2018,634
37095,4625,2808,1154,134,47338.0,1237.0,56.4,2018,7
37097,191800,144865,22203,2458,78678.0,1183.0,33.5,2018,1780
37099,43089,34250,1021,4003,53479.0,855.0,37.5,2018,221
37101,226623,151028,37620,4157,79838.0,1007.0,35.3,2018,1658
37103,9245,5857,2523,123,55659.0,725.0,34.9,2018,44
37105,64565,42408,11995,1090,63060.0,962.0,37.1,2018,683
37107,54917,27779,21799,786,44795.0,814.0,36.2,2018,1796
37109,90359,76579,5271,646,78490.0,977.0,37.0,2018,573
37111,44679,39523,1730,496,55527.0,741.0,29.0,2018,275
37113,37533,33271,446,428,53298.0,791.0,41.5,2018,149
37115,21640,19915,223,343,58628.0,764.0,36.0,2018,77
37117,21773,11239,8934,268,46793.0,729.0,38.9,2018,258
37119,1130906,526435,344569,14660,83765.0,1521.0,38.7,2018,33755
37121,14973,13794,118,227,58089.0,744.0,32.7,2018,61
37123,25874,17289,4318,489,55849.0,753.0,30.5,2018,173
37125,102840,80209,9898,2165,82837.0,1181.0,36.8,2018,359
37127,95451,46001,38787,1613,60704.0,924.0,32.9,2018,4929
37129,231214,178985,26060,3189,72892.0,1343.0,43.9,2018,2956
37131,17212,6827,9451,404,47935.0,749.0,39.7,2018,123
37133,208537,144394,26157,7886,64568.0,1198.0,39.5,2018,2131
37135,147292,103797,15595,1997,88553.0,1387.0,45.4,2018,1105
37137,12315,9184,2286,140,61624.0,909.0,42.3,2018,34
37139,40830,22691,14361,769,63912.0,1146.0,44.0,2018,595
37141,63475,48080,7847,955,76838.0,1072.0,44.7,2018,257
37143,13146,9243,2861,161,61224.0,1061.0,35.2,2018,77
37145,39275,25796,10004,1033,64927.0,796.0,44.4,2018,374
37147,172279,91243,60469,1841,58851.0,971.0,38.8,2018,5494
37149,19689,17269,1002,222,61005.0,1089.0,39.0,2018,50
37151,145322,116545,8907,2277,59047.0,857.0,36.6,2018,1306
37153,42818,24360,13599,1481,43626.0,744.0,44.9,2018,622
37155,116858,29029,27233,48541,40318.0,784.0,39.4,2018,1923
37157,91585,66525,16112,1636,55796.0,789.0,34.7,2018,1048
37159,148487,105910,23278,2721,63196.0,990.0,39.9,2018,1856
37161,64850,53801,5240,530,49771.0,748.0,37.6,2018,595
37163,59245,31539,14768,1769,53159.0,811.0,40.3,2018,499
37165,34353,14094,12973,5139,43500.0,766.0,42.4,2018,428
37167,63557,51072,6998,579,61631.0,830.0,32.8,2018,383
37169,44889,40992,1543,498,60039.0,766.0,34.6,2018,162
37171,71407,61533,2680,985,56095.0,741.0,33.2,2018,371
37173,14065,8601,212,4488,55429.0,715.0,32.0,2018,43
37175,33243,29675,1302,509,64523.0,909.0,38.8,2018,147
37177,3376,1903,1103,25,43952.0,612.0,56.8,2018,22
37179,244975,174145,27397,4130,99243.0,1390.0,36.8,2018,1278
37181,42361,16307,20746,933,46943.0,860.0,39.4,2018,1735
37183,1151009,683568,221985,15094,101763.0,1508.0,37.2,2018,18382
37185,18751,7215,8826,1247,45279.0,771.0,42.2,2018,154
37187,10905,5082,5411,142,41750.0,829.0,40.6,2018,162
37189,54607,49334,1194,664,51367.0,1066.0,58.9,2018,223
37191,117606,64683,35979,1413,58082.0,932.0,35.3,2018,1882
37193,65983,57561,2461,500,50438.0,715.0,33.9,2018,440
37195,78648,36231,30889,771,51381.0,915.0,40.7,2018,2691
37197,37419,32254,1095,430,60321.0,734.0,29.8,2018,168
37199,18676,17268,109,178,54961.0,807.0,29.3,2018,52
38001,2179,1917,15,196,55417.0,545.0,25.3,2018,2
38003,10794,9823,137,321,70230.0,779.0,35.7,2018,9
38005,5861,2519,32,3213,68049.0,616.0,19.2,2018,1
38007,948,937,0,0,81250.0,630.0,7.5,2018,1
38009,6390,5806,27,399,83460.0,763.0,18.4,2018,2
38011,2935,2766,0,96,83773.0,869.0,22.7,2018,1
38013,2163,1981,16,55,96339.0,725.0,15.0,2018,2
38015,98986,85701,1869,5567,84948.0,996.0,35.8,2018,159
38017,189286,158063,12256,4705,75023.0,930.0,31.1,2018,455
38019,3663,3400,0,69,67064.0,859.0,45.2,2018,1
38021,4959,4595,14,104,63125.0,749.0,30.9,2018,2
38023,2174,1944,77,42,89297.0,1064.0,12.9,2018,2
38025,4043,3320,23,447,94688.0,941.0,20.7,2018,3
38027,2319,2116,0,134,55389.0,615.0,17.8,2018,1
38029,3269,3084,2,93,67368.0,551.0,29.4,2018,1
38031,3372,3178,12,28,83412.0,756.0,46.3,2018,1
38033,1679,1532,1,50,76528.0,856.0,8.3,2018,2
38035,72764,61065,2615,3118,68450.0,971.0,37.1,2018,128
38037,2276,2131,2,50,56750.0,650.0,44.3,2018,1
38039,2340,2219,27,9,64737.0,606.0,23.7,2018,2
38041,2453,2328,8,95,70827.0,830.0,23.2,2018,1
38043,2374,2284,5,37,61850.0,847.0,33.3,2018,1
38045,4107,3946,11,39,70263.0,607.0,20.2,2018,1
38047,1848,1740,1,58,61339.0,847.0,36.7,2018,1
38049,5264,5012,37,80,80614.0,737.0,19.4,2018,2
38051,2512,2324,2,32,64236.0,600.0,25.8,2018,1
38053,14280,11438,306,1697,88289.0,1153.0,18.6,2018,6
38055,9807,8709,16,778,81847.0,768.0,20.6,2018,3
38057,8341,7587,50,306,79405.0,1043.0,48.8,2018,3
38059,33479,29414,582,1714,79483.0,1036.0,33.8,2018,78
38061,9567,5725,192,3040,81292.0,864.0,20.7,2018,4
